,cluster,총_상주인구_수,상권_구분_코드_명,상권_코드_명,총_생활인구_수,총_직장_인구_수,점포_수,아파트_단지_수,집객시설_수,교통시설_수,학교_수,분기당_매출_금액,분기당_매출_건수
1040,3,0.0,발달상권,동대문,0.0,0.0158637794524468,0.0,0.0,0.0522765598650927,0.0769230769230769,0.0,0.0,0.0
1041,3,0.0,발달상권,동대문,0.0,0.0018601545359152,0.0,0.0,0.042158516020236,0.0769230769230769,0.0,0.0,0.0
1048,3,0.0,발달상권,명동,0.0,0.0777163025851378,0.0,0.0,0.2563237774030354,0.1538461538461538,0.0909090909090909,0.0,0.0
1050,3,0.0,발달상권,미아사거리,0.0,0.0020032433463703,0.0,0.0,0.0236087689713322,0.0576923076923076,0.0,0.0,0.0
1051,3,0.0,발달상권,미아사거리,0.0,0.0009730039110941,0.0,0.0,0.0202360876897133,0.0769230769230769,0.0,0.0,0.0
1084,3,0.0,발달상권,천호,0.0,0.0024706667938567,0.0,0.0,0.0607082630691399,0.0769230769230769,0.0,0.0,0.0
1085,3,0.0,발달상권,천호,0.0,0.0013164170561862,0.0,0.0,0.0252951096121416,0.0384615384615384,0.0,0.0,0.0
1086,3,0.0,발달상권,천호,0.0,0.0115234188686444,0.0,0.0,0.1618887015177065,0.173076923076923,0.0,0.0,0.0
1088,3,0.0,발달상권,수유,0.0,0.0079271200992082,0.0,0.0,0.0961214165261382,0.1153846153846153,0.0,0.0,0.0
1089,3,0.0,발달상권,수유,0.0,0.0217876562052847,0.0,0.0,0.1112984822934232,0.2307692307692307,0.0,0.0,0.0
1090,3,0.0,발달상권,수유,0.0,0.0006677477821234,0.0,0.0,0.026981450252951,0.1153846153846153,0.0,0.0,0.0
1094,3,0.0,발달상권,서울대입구역,0.0,0.0143279595535629,0.0,0.0,0.1602023608768971,0.1153846153846153,0.0909090909090909,0.0,0.0
1095,3,0.0,발달상권,서울대입구역,0.0,0.000543737479729,0.0,0.0,0.0236087689713322,0.0769230769230769,0.0,0.0,0.0
1096,3,0.0,발달상권,신림역,0.0,0.0058666412286559,0.0,0.0,0.0522765598650927,0.2115384615384615,0.0,0.0,0.0
1097,3,0.0,발달상권,신림역,0.0,0.0015835161690355,0.0,0.0,0.0337268128161888,0.0576923076923076,0.0,0.0,0.0
1098,3,0.0,발달상권,신림역,0.0,0.0007345225603357,0.0,0.0,0.0944350758853288,0.0576923076923076,0.0,0.0,0.0
1099,3,0.0,발달상권,신림역,0.0,0.0031670323380711,0.0,0.0,0.0893760539629005,0.0769230769230769,0.0,0.0,0.0
1101,3,0.0,발달상권,건대입구,0.0,0.0010397786893064,0.0,0.0,0.0370994940978077,0.0192307692307692,0.0,0.0,0.0
1102,3,0.0,발달상권,건대입구,0.0,0.0050462653820471,0.0,0.0,0.0961214165261382,0.0769230769230769,0.0,0.0,0.0
1104,3,0.0,발달상권,군자,0.0,0.0059238767528379,0.0,0.0,0.0640809443507588,0.0961538461538461,0.0,0.0,0.0
1110,3,0.0,발달상권,동대문,0.0,0.0147190689688066,0.0,0.0,0.0202360876897133,0.0384615384615384,0.0,0.0,0.0
1111,3,0.0,발달상권,동대문,0.0,0.0518935419250214,0.0,0.0,0.0489038785834738,0.1538461538461538,0.0,0.0,0.0
1112,3,0.0,발달상권,청량리,0.0,0.0074024611275398,0.0,0.0,0.1399662731871838,0.3461538461538461,0.0,0.0,0.0
1113,3,0.0,발달상권,노량진,0.0,0.0003815701612133,0.0,0.0,0.0202360876897133,0.1153846153846153,0.0,0.0,0.0
1114,3,0.0,발달상권,노량진,0.0,0.0041591147572259,0.0,0.0,0.0472175379426644,0.1153846153846153,0.0,0.0,0.0
1115,3,0.0,발달상권,공덕역,0.0,0.0230849947534102,0.0,0.0,0.0354131534569983,0.1153846153846153,0.0,0.0,0.0
1116,3,0.0,발달상권,공덕역,0.0,0.0352666221501478,0.0,0.0,0.0185497470489038,0.0961538461538461,0.0,0.0,0.0
1125,3,0.0,발달상권,남부터미널,0.0,0.0193933034436707,0.0,0.0,0.0286677908937605,0.0769230769230769,0.0,0.0,0.0
1126,3,0.0,발달상권,남부터미널,0.0,0.0287322331393685,0.0,0.0,0.1163575042158516,0.0961538461538461,0.0,0.0,0.0
1127,3,0.0,발달상권,남부터미널,0.0,0.0291901173328245,0.0,0.0,0.0404721753794266,0.0576923076923076,0.0,0.0,0.0
1133,3,0.0,발달상권,가락시장,0.0,0.0517122960984451,0.0,0.0,0.0286677908937605,0.0192307692307692,0.0,0.0,0.0
1137,3,0.0,발달상권,영등포,0.0,0.2577029476294953,0.0,0.0,0.1163575042158516,0.0961538461538461,0.0,0.0,0.0
1138,3,0.0,발달상권,영등포,0.0,0.3203758466087952,0.0,0.0,0.1551433389544688,0.2307692307692307,0.0,0.0,0.0
1139,3,0.0,발달상권,영등포,0.0,0.0042831250596203,0.0,0.0,0.0320404721753794,0.0961538461538461,0.0,0.0,0.0
1140,3,0.0,발달상권,영등포,0.0,0.0039206334064676,0.0,0.0,0.0387858347386172,0.0384615384615384,0.0,0.0,0.0
1142,3,0.0,발달상권,용산역,0.0,0.0093389296956977,0.0,0.0,0.0252951096121416,0.0384615384615384,0.0,0.0,0.0
1143,3,0.0,발달상권,이태원,0.0,0.0043117428217113,0.0,0.0,0.0607082630691399,0.1538461538461538,0.0,0.0,0.0
1144,3,0.0,발달상권,불광역,0.0,0.0017170657254602,0.0,0.0,0.0741989881956155,0.1153846153846153,0.0,0.0,0.0
1145,3,0.0,발달상권,불광역,0.0,0.0011065534675188,0.0,0.0,0.0505902192242833,0.0961538461538461,0.0,0.0,0.0
1146,3,0.0,발달상권,불광역,0.0,0.0006391300200324,0.0,0.0,0.0438448566610455,0.0,0.0,0.0,0.0
1147,3,0.0,발달상권,연신내,0.0,0.0006677477821234,0.0,0.0,0.0354131534569983,0.0384615384615384,0.0,0.0,0.0
1148,3,0.0,발달상권,연신내,0.0,0.0052942859868358,0.0,0.0,0.0961214165261382,0.1923076923076923,0.0,0.0,0.0
1149,3,0.0,발달상권,연신내,0.0,0.0010302394352761,0.0,0.0,0.0134907251264755,0.0,0.0,0.0,0.0
1150,3,0.0,발달상권,종로,0.0,0.0057140131641705,0.0,0.0,0.0337268128161888,0.0769230769230769,0.0,0.0,0.0
1151,3,0.0,발달상권,종로,0.0,0.00227988171325,0.0,0.0,0.0252951096121416,0.0576923076923076,0.0,0.0,0.0
1152,3,0.0,발달상권,광화문,0.0,0.121711342173042,0.0,0.0,0.0758853288364249,0.2307692307692307,0.0909090909090909,0.0,0.0
1153,3,0.0,발달상권,광화문,0.0,0.2670895735953448,0.0,0.0,0.1433389544688026,0.2115384615384615,0.0,0.0,0.0
1154,3,0.0,발달상권,동대문,0.0,0.0002670991128493,0.0,0.0,0.0118043844856661,0.0,0.0,0.0,0.0
1155,3,0.0,발달상권,동대문,0.0,0.0071353620146904,0.0,0.0,0.0927487352445193,0.1153846153846153,0.0,0.0,0.0
1156,3,0.0,발달상권,종로,0.0,0.0839835924830678,0.0,0.0,0.026981450252951,0.0769230769230769,0.0,0.0,0.0
1157,3,0.0,발달상권,종로,0.0,0.0077267957645712,0.0,0.0,0.0219224283305227,0.0384615384615384,0.0,0.0,0.0
1158,3,0.0,발달상권,종로,0.0,0.0253457979585996,0.0,0.0,0.057335581787521,0.0576923076923076,0.0,0.0,0.0
1159,3,0.0,발달상권,종로,0.0,0.0173900600973003,0.0,0.0,0.1382799325463743,0.0769230769230769,0.0,0.0,0.0
1160,3,0.0,발달상권,종로,0.0,0.0203758466087951,0.0,0.0,0.0286677908937605,0.0576923076923076,0.0,0.0,0.0
1161,3,0.0,발달상권,종로,0.0,0.0002098635886673,0.0,0.0,0.0151770657672849,0.0192307692307692,0.0,0.0,0.0
1162,3,0.0,발달상권,종로,0.0,0.1542783554326051,0.0,0.0,0.1079258010118043,0.0961538461538461,0.0,0.0,0.0
1163,3,0.0,발달상권,종로,0.0,0.0168463226175713,0.0,0.0,0.1416526138279932,0.25,0.0,0.0,0.0
1164,3,0.0,발달상권,종로,0.0,0.0129543069731946,0.0,0.0,0.0236087689713322,0.0961538461538461,0.0909090909090909,0.0,0.0
1165,3,0.0,발달상권,명동,0.0,0.0342936182390537,0.0,0.0,0.0674536256323777,0.0576923076923076,0.2727272727272727,0.0,0.0
1170,3,0.0,발달상권,을지로,0.0,0.0433940665839931,0.0,0.0,0.1146711635750421,0.1153846153846153,0.0,0.0,0.0
1171,3,0.0,발달상권,을지로,0.0,0.030344367070495,0.0,0.0,0.0472175379426644,0.0769230769230769,0.0,0.0,0.0
1172,3,0.0,발달상권,충무로,0.0,0.0357054278355432,0.0,0.0,0.057335581787521,0.0769230769230769,0.0909090909090909,0.0,0.0
1173,3,0.0,발달상권,충무로,0.0,0.1557664790613374,0.0,0.0,0.1096121416526138,0.0961538461538461,0.0,0.0,0.0
1179,3,0.0,발달상권,시청,0.0,0.2375655823714585,0.0,0.0,0.087689713322091,0.1153846153846153,0.0,0.0,0.0
1180,3,0.0,발달상권,시청,0.0,0.1397119145282838,0.0,0.0,0.087689713322091,0.1538461538461538,0.3636363636363636,0.0,0.0
1189,3,0.0,발달상권,양재역,0.0,0.0049127158256224,0.0,0.0,0.0286677908937605,0.0576923076923076,0.0909090909090909,0.0,0.0
1190,3,0.0,발달상권,양재역,0.0,0.0251263951159019,0.0,0.0,0.0590219224283305,0.1538461538461538,0.0,0.0,0.0
1191,3,0.0,발달상권,양재역,0.0,0.0860917676237718,0.0,0.0,0.0404721753794266,0.1153846153846153,0.0,0.0,0.0
1195,3,0.0,발달상권,영등포,0.0,0.0007345225603357,0.0,0.0,0.0118043844856661,0.0192307692307692,0.0,0.0,0.0
1196,3,0.0,발달상권,영등포,0.0,0.0055613850996852,0.0,0.0,0.1112984822934232,0.0961538461538461,0.0,0.0,0.0
1197,3,0.0,발달상권,영등포,0.0,0.0011542497376705,0.0,0.0,0.026981450252951,0.0384615384615384,0.0909090909090909,0.0,0.0
1198,3,0.0,발달상권,영등포,0.0,0.0143470380616235,0.0,0.0,0.0168634064080944,0.0192307692307692,0.0,0.0,0.0
1199,3,0.0,발달상권,왕십리,0.0,7.631403224267862e-05,0.0,0.0,0.0050590219224283,0.0,0.0,0.0,0.0
1200,3,0.0,발달상권,왕십리,0.0,0.002222646189068,0.0,0.0,0.0438448566610455,0.0,0.0,0.0,0.0
1218,3,0.0,발달상권,청담,0.0,0.0050462653820471,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
1219,3,0.0,발달상권,청담,0.0,0.0122960984451015,0.0,0.0,0.0337268128161888,0.0192307692307692,0.0,0.0,0.0
1220,3,0.0,발달상권,청담,0.0,0.0131260135457407,0.0,0.0,0.0387858347386172,0.0192307692307692,0.0,0.0,0.0
1221,3,0.0,발달상권,청담,0.0,0.03874844987122,0.0,0.0,0.0370994940978077,0.0961538461538461,0.0,0.0,0.0
1222,3,0.0,발달상권,청담,0.0,0.0395115901936468,0.0,0.0,0.0370994940978077,0.0384615384615384,0.0,0.0,0.0
1241,3,0.0,전통시장,남대문시장,0.0,0.0780883334923209,0.0,0.0,0.118043844856661,0.1346153846153846,0.0,0.0,0.0
1251,3,0.0,전통시장,동대문,0.0,0.0125822760660116,0.0,0.0,0.0252951096121416,0.0192307692307692,0.0,0.0,0.0
1278,3,0.0,전통시장,수유,0.0,0.0001907850806066,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
1279,3,0.0,전통시장,수유,0.0,0.0022035676810073,0.0,0.0,0.0320404721753794,0.0192307692307692,0.0,0.0,0.0
1280,3,0.0,전통시장,수유,0.0,0.0001240103023943,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
1281,3,0.0,전통시장,신노량진시장,0.0,0.0001049317943336,0.0,0.0,0.0050590219224283,0.0192307692307692,0.0,0.0,0.0
1295,3,0.0,전통시장,영등포,0.0,0.0002194028426977,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
1298,3,0.0,전통시장,이태원,0.0,1.9078508060669652e-05,0.0,0.0,0.0016863406408094,0.0192307692307692,0.0,0.0,0.0
1307,3,0.0,전통시장,천호,0.0,0.0003338738910617,0.0,0.0,0.0168634064080944,0.0384615384615384,0.0,0.0,0.0
1314,3,0.0,전통시장,화곡,0.0,0.0007154440522751,0.0,0.0,0.0286677908937605,0.0192307692307692,0.0,0.0,0.0
1315,3,0.0,골목상권,사당,0.0,0.0,0.0,0.0,0.0118043844856661,0.0961538461538461,0.0,0.0,0.0
1323,3,0.0957411905066257,발달상권,동대문,0.0,0.03020127826004,0.0,0.0190577024880889,0.0657672849915683,0.0769230769230769,0.0,0.2353146705787533,0.1976341493946272
1326,3,0.0008884059823597,발달상권,서울시청,0.0,0.0883048745588095,0.0,0.0,0.1163575042158516,0.1153846153846153,0.0,0.0872879240064137,0.090711112829264
1329,3,0.2315011291490902,발달상권,양재역,0.0,0.0086234856434226,0.0,0.0954208575966119,0.1112984822934232,0.0769230769230769,0.0909090909090909,0.2373924529321377,0.1447710315729015
1330,3,0.2035600153393838,발달상권,오류동역,0.0,0.0219116665076791,0.0,0.024219163578613,0.118043844856661,0.1346153846153846,0.0,0.139673486955439,0.1058311656992851
1333,3,0.2616408879798883,발달상권,장안동,0.0,0.0151387961461413,0.0,0.051217575436739,0.1079258010118043,0.2307692307692307,0.0,0.1124881338362841,0.086680510070524
1334,3,0.0197430653202096,발달상권,종로,0.0,0.1975484117142039,0.0,0.0017204870301746,0.1399662731871838,0.0769230769230769,0.0909090909090909,0.0672516296963635,0.0597528344921661
1338,3,0.0505070518556393,전통시장,영등포,0.0,0.0202899933225221,0.0,0.0031762837480148,0.1669477234401349,0.25,0.0,0.0,0.0
1343,3,0.0,발달상권,가락시장,0.0,0.0,0.0,0.0,0.0354131534569983,0.1346153846153846,0.0,0.159917949540983,0.1402742264169699
1346,1,0.1067088499723038,관광특구,동대문,0.8145720980563419,0.057750643899647,0.3663366336633663,0.0133668607728957,0.251264755480607,0.4423076923076923,0.4545454545454546,0.257721534136472,0.2271063788269556
1499,1,0.0,관광특구,종로,0.0,0.3141753314890775,0.0,0.0,0.4097807757166947,0.5961538461538461,0.0,0.1856597405871274,0.1789211625513835
